tree_code,tree_common_name,tree_species,latitude,longitude,dbh,stream_distance,canopy_height,large_vines,epiphytes,moss,mean_ground_cover,density_small_stems,density_big_stems,canopy_size,mean_canopy_cover,root_base,lugovia_epiphytes,dbh_r,ground_cover,canopy_cover,espave
PAT120,Espavé,Anacardium excelsum,-79.715509,9.35222799,2.5278919937567372,-0.7270921190094244,0.738361215341742,3,4,0,19.16666667,0.14689426265443492,1.0066208432966217,0.8835421628921194,91.77777778,4,3,2.7,-0.03961903848963322,0.4092628910357037,1
PAT121,Espavé,Anacardium excelsum,-79.71588098,9.352194965,2.5278919937567372,-0.7137440551103756,2.3862750244965056,1,5,1,25.83333333,-0.07140693323479472,0.681217730811007,2.2051864177947857,92.5,5,3,2.7,0.7717182163047206,0.4396069387695509,1
PAT122,Sandé,Brosimum utile,-79.70948,9.35144,-0.6562392035564486,0.3707861366873388,-0.7264510594624923,1,4,0,15,0.20146956162674268,0.03041150583977709,0.02459564231352998,89.83333333,1,2,0.79,-0.5467048236488592,0.32756737742132946,0
PAT123,Bateo,Carapa guianensis,-79.70876,9.35133,-0.37283485615161016,0.3707861366873388,-0.543349525111963,3,3,0,19.58333333,-0.5080093250132547,0.03041150583977709,-0.9817435515126612,89.16666667,0,2,0.96,0.011089539174384882,0.2995574873993852,0
PAT124,Cuajao blanco,Unknown sp. 1,-79.70838,9.35114,-0.7062517354514201,0.03708453921111896,-1.1567396651862365,4,3,0,20.83333333,-0.6171599229578696,0.03041150583977709,-1.0440885566659714,90.58333333,1,3,0.76,0.16321527460045201,0.3590785040111279,0
PAT125,Cerillo,Symphonia globulifera,-79.70701,9.35122,-0.7062517354514201,2.2061449228065477,-0.543349525111963,3,4,0,21.25,1.0746743451836622,2.308233293239081,-0.9346791848773192,92.58333333,2,1,0.76,0.21392385348147655,0.44310817491725696,0
PAT126,Espavé,Anacardium excelsum,-79.70652,9.35108,0.043936242973152316,2.0392941240684377,-1.0011033609882862,1,4,1,28.33333333,-0.07140693323479472,-0.2949916066458377,0.9327021599527827,90,5,3,1.21,1.075969687156855,0.3345698501368896,1
PAT127,Espavé,Anacardium excelsum,-79.70654,9.35096,0.19397383865806694,2.0392941240684377,-0.36024799076143377,2,5,1,28.75,-0.6171599229578696,0.03041150583977709,-0.4250917197866769,92.25,5,5,1.3,1.1266782660378794,0.4291032299062848,1
PAT128,Mamecillo,Alseis blackiana,-79.70684,9.35163,0.3606822783079717,2.3729957215446578,-1.4936464883912104,1,4,0,24.16666667,-0.8900364178194069,1.3320239557822366,-0.6323338516227688,87.58333333,1,1,1.4,0.5688839032146353,0.23303399765193428,0
PAT129,Níspero puerco,Manilkara sp. 2,-79.70689,9.35168,-0.6395683595914581,2.5398465202827674,-0.9095525938130216,3,5,0,28.25,1.12924964415597,0.35581461832539185,0.6139916994351604,89.91666667,0,2,0.8,1.0658279718674526,0.3310686139891836,0
PAT130,Espavé,Anacardium excelsum,-79.71613,9.35077,1.527641355857307,0.20393533794922886,-0.543349525111963,4,5,0,15.83333333,-0.6171599229578696,-0.9457978316170674,0.014117490186923319,87.58333333,4,4,2.1,-0.44528766710381634,0.23303399765193428,1
PAT131,Cuajao blanco,Unknown sp. 1,-79.71489,9.35131,-0.7229225794164106,-0.6636888154889427,-1.092654128163551,1,3,0,16.5,-0.9446117167917145,-0.9457978316170674,-1.1987286184678096,87.16666667,0,2,0.75,-0.3641539411375786,0.2155278164932561,0
PAT132,Sandé,Brosimum utile,-79.71529,9.35127,-0.6228975156264676,0.03708453921111896,-1.330686122819239,3,3,0,17.5,0.4743460564882801,0.35581461832539185,-0.19195283496967655,87.41666667,3,1,0.81,-0.24245335279672486,0.22603152535652224,0
